local_a_m,local_b_m,x_m,y_m,diameter_upper_bound_m,move_distance_m,move_and_detect_time_s
750.0,570.0,750.0,570.0,143.21103431460423,942.0191080864549,193.403821617291
750.0,-570.0,750.0,-570.0,143.21103431460423,942.0191080864549,193.403821617291
700.0,630.0,700.0,630.0,143.22535141851617,941.7536832951597,193.35073665903195
700.0,-630.0,700.0,-630.0,143.22535141851617,941.7536832951597,193.35073665903195
590.0,780.0,590.0,780.0,143.3549424887912,978.008179924892,200.6016359849784
590.0,-780.0,590.0,-780.0,143.3549424887912,978.008179924892,200.6016359849784
610.0,750.0,610.0,750.0,143.38624716288456,966.7471230885562,198.34942461771124
610.0,-750.0,610.0,-750.0,143.38624716288456,966.7471230885562,198.34942461771124
660.0,680.0,660.0,680.0,143.43392710661806,947.6286192385706,194.52572384771412
660.0,-680.0,660.0,-680.0,143.43392710661806,947.6286192385706,194.52572384771412
570.0,810.0,570.0,810.0,143.4361660660319,990.4544411531507,203.09088823063013
570.0,-810.0,570.0,-810.0,143.4361660660319,990.4544411531507,203.09088823063013
740.0,580.0,740.0,580.0,143.4718409942829,940.2127418834526,193.04254837669052
740.0,-580.0,740.0,-580.0,143.4718409942829,940.2127418834526,193.04254837669052
760.0,570.0,760.0,570.0,143.48367870363344,950.0,195.0
760.0,-570.0,760.0,-570.0,143.48367870363344,950.0,195.0
770.0,580.0,770.0,580.0,143.50398018480564,964.0020746865641,197.80041493731284
770.0,-580.0,770.0,-580.0,143.50398018480564,964.0020746865641,197.80041493731284
630.0,720.0,630.0,720.0,143.54484580410644,956.7131231461184,196.34262462922368
630.0,-720.0,630.0,-720.0,143.54484580410644,956.7131231461184,196.34262462922368
690.0,640.0,690.0,640.0,143.57948036577199,941.1163583744574,193.22327167489146
690.0,-640.0,690.0,-640.0,143.57948036577199,941.1163583744574,193.22327167489146
730.0,590.0,730.0,590.0,143.74703763298038,938.6160024205852,192.72320048411706
730.0,-590.0,730.0,-590.0,143.74703763298038,938.6160024205852,192.72320048411706
780.0,590.0,780.0,590.0,143.76939413205668,978.008179924892,200.6016359849784
780.0,-590.0,780.0,-590.0,143.76939413205668,978.008179924892,200.6016359849784
650.0,690.0,650.0,690.0,143.8482597265068,947.9451460923253,194.58902921846507
650.0,-690.0,650.0,-690.0,143.8482597265068,947.9451460923253,194.58902921846507
580.0,790.0,580.0,790.0,143.86340180745125,980.0510190801293,201.01020381602586
580.0,-790.0,580.0,-790.0,143.86340180745125,980.0510190801293,201.01020381602586
600.0,760.0,600.0,760.0,143.87000682986522,968.2974749528164,198.65949499056327
600.0,-760.0,600.0,-760.0,143.87000682986522,968.2974749528164,198.65949499056327
680.0,650.0,680.0,650.0,143.94366342313316,940.6912352095134,193.13824704190267
680.0,-650.0,680.0,-650.0,143.94366342313316,940.6912352095134,193.13824704190267
560.0,820.0,560.0,820.0,143.9660787413008,992.9753269845128,203.59506539690256
560.0,-820.0,560.0,-820.0,143.9660787413008,992.9753269845128,203.59506539690256
620.0,730.0,620.0,730.0,144.00001930040878,957.7577981932593,196.55155963865187
620.0,-730.0,620.0,-730.0,144.00001930040878,957.7577981932593,196.55155963865187
720.0,600.0,720.0,600.0,144.03588264865223,937.2299611087985,192.4459922217597
720.0,-600.0,720.0,-600.0,144.03588264865223,937.2299611087985,192.4459922217597
790.0,600.0,790.0,600.0,144.04879375637026,992.0181449953423,203.40362899906845
790.0,-600.0,790.0,-600.0,144.04879375637026,992.0181449953423,203.40362899906845
640.0,700.0,640.0,700.0,144.27016078905766,948.4724561103501,194.69449122207
640.0,-700.0,640.0,-700.0,144.27016078905766,948.4724561103501,194.69449122207
670.0,660.0,670.0,660.0,144.31743860897888,940.4786015641185,193.09572031282372
670.0,-660.0,670.0,-660.0,144.31743860897888,940.4786015641185,193.09572031282372
710.0,610.0,710.0,610.0,144.33768599564306,936.055553906925,192.211110781385
710.0,-610.0,710.0,-610.0,144.33768599564306,936.055553906925,192.211110781385
